brand_name,brand_id,rights_owner,complaint_email,rights_type,rights_name,rights_id,category,risk_level
19th Asian Games Hangzhou 2022,SC_B_3353,2022年第19届亜運会組委会,,,,,FUN,S
3 Musketeers,SC_B_3181,"MARS, INCORPORATED",,,,,FUN,S
3CE,SC_B_276,KIM SO HEE,,,,,FUN,S
3D White,SC_B_277,THF PROCTER & GAMBLE COMPANY,,,,,FUN,S
3M,SC_B_3006,3M Company,,,,,3C,S
5 Gum,SC_B_3182,Wm. Wrigley Jr. Company,,,,,FUN,S
A. Lange & Sohne,SC_B_5314,Lange Uhren GmbH,,,,,LUXURY,A
A.H.C,SC_B_279,株式会社珂泊亚 CARVERKOREA CO.，LTD.,unilever.enforcement@incoproip.com,商标,A.H.C,5417025,FUN,S
Abercrombie & Fitch,SC_B_3805,ABERCROMBIE & FITCH EUROPE SAGL,,,,,LUXURY,S
Aberfeldy,SC_B_2864,Bacardi & Company Limited,,,,,FUN,S
ABRO,SC_B_2971,"ABRO INDUSTRIES, INC.",,,,,FUN,S
Abruzzo,SC_B_281,MIPAAF,,,,,FUN,S
Absolut,SC_B_282,绝对有限公司 THE ABSOLUT COMPANY AKTIEBOLAG,pernodricard@sipi.sg,商标,ABSOLUT,525723,LUXURY,S
AC Milan,SC_B_5474,A.C. Milan S.p.A.,,,,,FUN,S
Acer,SC_B_14,ACER INCORPORATED,,,,,3C,A
Acqua di Parma,SC_B_5466,아쿠아 디 파르마 에스. 알. 엘.,,,,,LUXURY,S
Acqua Panna,SC_B_3065,SANPELLEGRINO S.P.A.,,,,,FUN,S
adidas,SC_B_1431,ADIDAS AG,adidasip400@adidas.com,商标,ADIDAS,11492475,FUN,S
adobe,SC_B_2377,Adobe Inc.,,,,,3C,S
Aero,SC_B_3078,Societe des Produits Nestle S.A.,,,,,FUN,S
Aigle,SC_B_293,AIGLE INTERNATIONAL S.A.,,,,,LUXURY,S
Air Jordan,SC_B_297,NIKE INNOVATE C.V.,,,,,FUN,S
Air Liquide,SC_B_2253,AIR LIQUIDE,,,,,FUN,S
Airheads,SC_B_3247,Perfetti Van Melle Benelux BV,,,,,FUN,S
AirPods,SC_B_2406,Apple Inc.,ebox2836@apple.com,商标,AIRPOD,6027260,3C,S
AirTag,SC_B_4227,Apple Inc.,,,,,3C,S
alaia,SC_B_305,AATC TRADING AG,,,,,FUN,S
alcatel,SC_B_2255,ALCATEL LUCENT,,,,,3C,S
Alexander McQueen,SC_B_1269,AUTUMNPAPER LIMITED,,,,,FUN,S
Alexander Wang,SC_B_3155,"AW LICENSING, LLC.",sipicops@sipi.in,商标,ALEXANDER WANG,11292016,FUN,S
All Star,SC_B_311,ALL STAR C.V.,,,,,FUN,S
Alpenliebe,SC_B_3246,PERFETTI VAN MELLE S.P.A.,perfettivanvelle.ipr@ybrandprotection.com,商标,Alpenliebe,015422363,FUN,S
alpinestars,SC_B_19,ALPINESTARS SPA,,,,,LUXURY,A
Alpro,SC_B_2923,ALPRO NV,,,,,FUN,S
Altiplano,SC_B_313,RICHEMONT INTERNATIONAL SA,,,,,LUXURY,S
Altoids,SC_B_3183,Wm. Wrigley Jr. Company,,,,,FUN,S
alunite,SC_B_4392,TRAVAINI MATTIA,,,,,FUN,S
Always,SC_B_1287,The Procter &amp; Gamble Company,pg_enforce@opsecsecurity.com,商标,Always,234856,FUN,S
Amiri,SC_B_128,"ATELIER LUXURY GROUP, LLC,Atelier Fashion Company, Inc.",,,,,LUXURY,S
Amoy,SC_B_3238,Amoy Food Limited,,,,,FUN,S
Amstel,SC_B_316,Amstel Brouwerij B.V.,enforcement_heineken@corsearch.com,商标,Amstel,674606,FUN,S
